alpha,year,country.x,dm.output,total.output,dm.share,category2,NY.GDP.PCAP.KD,RL.EST,SP.POP.TOTL
AE,1991,United Arab Emirates,NA,NA,NA,NA,46654.2396755438,NA,1908002
AE,1992,United Arab Emirates,0,65,0,NA,45700.4384776975,NA,2012977
AE,1993,United Arab Emirates,0,80,0,NA,43916.9592449208,NA,2121143
AE,1994,United Arab Emirates,0,94,0,NA,44610.7106552982,NA,2232159
AE,1995,United Arab Emirates,0,143,0,NA,45278.8005865978,NA,2346305
AE,1996,United Arab Emirates,0,159,0,NA,45490.3361744494,0.6879253234,2470810
AE,1997,United Arab Emirates,0,161,0,NA,46609.4849528244,0.7104044222,2608993
AE,1998,United Arab Emirates,0,137,0,NA,44292.3496752732,0.732883521,2753498
AE,1999,United Arab Emirates,0,151,0,NA,43370.3076458383,0.7279510361,2893648
AE,2000,United Arab Emirates,0,144,0,NA,45968.9998216101,0.7230185513,3026352
AE,2001,United Arab Emirates,0,160,0,NA,45038.3380917655,0.7173981944,3132104
AE,2002,United Arab Emirates,0,170,0,NA,44819.7575342327,0.7117778375,3223969
AE,2003,United Arab Emirates,0,211,0,NA,46661.3888790427,0.573939123,3369254
AE,2004,United Arab Emirates,0,195,0,NA,47081.1580731954,0.4961365641,3658658
AE,2005,United Arab Emirates,0,240,0,NA,43533.8917822307,0.4798097342,4148883
AE,2006,United Arab Emirates,0,228,0,NA,40689.0046019692,0.3716471514,4875639
AE,2007,United Arab Emirates,1,232,4.310345,NA,35309.6419617861,0.3590368797,5797347
AE,2008,United Arab Emirates,0,221,0,NA,31070.3563797185,0.4857841672,6798635
AE,2009,United Arab Emirates,0,214,0,NA,25933.2439811321,0.4622958771,7718319
AE,2010,United Arab Emirates,0,224,0,NA,24099.2278944828,0.3652899282,8441537
AE,2011,United Arab Emirates,0,244,0,NA,23907.0755761737,0.5310093864,8925096
AE,2012,United Arab Emirates,0,232,0,NA,24262.7459890135,0.5593529951,9205651
AE,2013,United Arab Emirates,2,252,7.936508,NA,25140.7565915726,0.643055141,9346129
AE,2014,United Arab Emirates,0,271,0,NA,NA,NA,NA
AR,1991,Argentina,NA,NA,NA,restricted,4410.7185678034,NA,33075194
AR,1992,Argentina,0,1959,0,restricted,4871.7572782602,NA,33520803
AR,1993,Argentina,0,1992,0,restricted,5092.5090848859,NA,33961947
AR,1994,Argentina,0,2187,0,restricted,5321.1865606719,NA,34399343
AR,1995,Argentina,0,2492,0,restricted,5105.4012249284,NA,34833168
AR,1996,Argentina,0,3286,0,restricted,5321.7287300261,0.0372180485,35264070
AR,1997,Argentina,0,3540,0,restricted,5684.5910292565,0.0005752523,35690778
AR,1998,Argentina,0,3855,0,restricted,5835.0275999178,-0.0360675439,36109342
AR,1999,Argentina,0,4051,0,restricted,5574.9239189086,-0.1179284317,36514558
AR,2000,Argentina,0,4379,0,restricted,5472.7090880439,-0.1997893195,36903067
AR,2001,Argentina,0,4486,0,restricted,5179.4542626094,-0.5086178228,37273361
AR,2002,Argentina,2,4821,0.4148516905,restricted,4571.7372214782,-0.8174463262,37627545
AR,2003,Argentina,0,4695,0,restricted,4930.8134326312,-0.820463866,37970411
AR,2004,Argentina,0,4832,0,restricted,5328.5601295176,-0.8263785657,38308779
AR,2005,Argentina,2,5037,0.3970617431,restricted,5767.6570119762,-0.5816653358,38647854
AR,2006,Argentina,3,5373,0.558347292,restricted,6195.3849415422,-0.602514414,38988923
AR,2007,Argentina,1,5761,0.1735809755,restricted,NA,-0.6331446457,39331357
AR,2008,Argentina,2,6544,0.3056234719,restricted,NA,-0.7000463809,39676083
AR,2009,Argentina,3,6848,0.4380841121,restricted,NA,-0.708890188,40023641
AR,2010,Argentina,2,7401,0.2702337522,restricted,NA,-0.6207297573,40374224
AR,2011,Argentina,2,7904,0.2530364372,restricted,NA,-0.5874898095,40728738
AR,2012,Argentina,7,8231,0.8504434455,restricted,NA,-0.7140455892,41086927
AR,2013,Argentina,6,8477,0.7077975699,restricted,NA,-0.7317093611,41446246
AR,2014,Argentina,5,8342,0.5993766483,restricted,NA,NA,NA
AT,1991,Austria,NA,NA,NA,restricted,29752.9333245894,NA,7754891
AT,1992,Austria,0,4199,0,restricted,30043.3494311019,NA,7840709
AT,1993,Austria,0,4153,0,restricted,29953.5936861254,NA,7905633
AT,1994,Austria,0,4323,0,restricted,30555.2899897097,NA,7936118
AT,1995,Austria,0,4921,0,restricted,31322.506686026,NA,7948278
AT,1996,Austria,0,5735,0,restricted,32030.4409303319,1.8013601339,7959017
AT,1997,Austria,0,6348,0,restricted,32699.6433709134,1.80136,7968041
AT,1998,Austria,0,6606,0,restricted,33826.6025332222,1.8335310166,7976789
AT,1999,Austria,2,6914,0.2892681516,restricted,34972.8636245141,1.833531,7992324
AT,2000,Austria,8,7072,1.1312217195,restricted,36064.0642882976,1.8134811397,8011566
AT,2001,Austria,2,7529,0.2656395272,restricted,36411.4665537166,1.813481,8042293
AT,2002,Austria,7,7611,0.9197214558,restricted,36832.729466506,1.8620064685,8081957
AT,2003,Austria,8,8084,0.9896091044,restricted,36930.9013391539,1.8621518054,8121423
AT,2004,Austria,5,8377,0.5968723887,restricted,37695.5624507375,1.8461996971,8171966
AT,2005,Austria,7,8598,0.8141428239,restricted,38241.091364843,1.8631130178,8227829
AT,2006,Austria,8,8705,0.919012062,restricted,39327.4122188341,1.9094440048,8268641
AT,2007,Austria,4,9381,0.4263937747,restricted,40619.7766754174,1.9591698789,8295487
AT,2008,Austria,6,10003,0.599820054,restricted,41119.3496405794,1.9265502579,8321496
